spellId	spellName
133	Fireball
133	Fireball
133	Fireball
133	Fireball
133	Fireball
133	Fireball
133	Fireball
133	Fireball
133	Fireball
133	Fireball
133	Fireball
133	Fireball
133	Fireball
133	Fireball
133	Fireball
48108	Hot Streak
48108	Hot Streak
29077	Master of Elements
413841	Ignite
413843	Ignite
413841	Ignite
413843	Ignite
48108	Hot Streak
2948	Scorch
2948	Scorch
2948	Scorch
2948	Scorch
22959	Critical Mass
2948	Scorch
2948	Scorch
2948	Scorch
2948	Scorch
22959	Critical Mass
2948	Scorch
2948	Scorch
22959	Critical Mass
2948	Scorch
2948	Scorch
2948	Scorch
64343	Impact
64343	Impact
29077	Master of Elements
413841	Ignite
22959	Critical Mass
2948	Scorch
2948	Scorch
2136	Fire Blast
64343	Impact
2136	Fire Blast
12355	Impact
48108	Hot Streak
48108	Hot Streak
48108	Hot Streak
48108	Hot Streak
29077	Master of Elements
413841	Ignite
413843	Ignite
12355	Impact
413843	Ignite
413841	Ignite
413843	Ignite
2948	Scorch
2948	Scorch
2948	Scorch
22959	Critical Mass
48108	Hot Streak
92315	Pyroblast!
92315	Pyroblast!
92315	Pyroblast!
22959	Critical Mass
2948	Scorch
2948	Scorch
2948	Scorch
2948	Scorch
22959	Critical Mass
2948	Scorch
92315	Pyroblast!
2948	Scorch
2948	Scorch
2948	Scorch
2948	Scorch
22959	Critical Mass
2948	Scorch
2948	Scorch
2948	Scorch
2948	Scorch
22959	Critical Mass
92315	Pyroblast!
2948	Scorch
2948	Scorch
2948	Scorch
64343	Impact
64343	Impact
22959	Critical Mass
2948	Scorch
2948	Scorch
2948	Scorch
2948	Scorch
22959	Critical Mass
2948	Scorch
92315	Pyroblast!
2948	Scorch
2948	Scorch
2948	Scorch
22959	Critical Mass
2948	Scorch
2948	Scorch
92315	Pyroblast!
92315	Pyroblast!
30482	Molten Armor
30482	Molten Armor
2948	Scorch
2948	Scorch
79058	Arcane Brilliance
1459	Arcane Brilliance
2948	Scorch
64343	Impact
2948	Scorch
2948	Scorch
2948	Scorch
29077	Master of Elements
413841	Ignite
22959	Critical Mass
2948	Scorch
2948	Scorch
2948	Scorch
2948	Scorch
22959	Critical Mass
413843	Ignite
2948	Scorch
2948	Scorch
2948	Scorch
22959	Critical Mass
413841	Ignite
413843	Ignite
2948	Scorch
2948	Scorch
2948	Scorch
2948	Scorch
2948	Scorch
2948	Scorch
2948	Scorch
29077	Master of Elements
413841	Ignite
22959	Critical Mass
2948	Scorch
2948	Scorch
2948	Scorch
2948	Scorch
22959	Critical Mass
413843	Ignite
2948	Scorch
2948	Scorch
2948	Scorch
64343	Impact
64343	Impact
29077	Master of Elements
413841	Ignite
22959	Critical Mass
2948	Scorch
413843	Ignite
2948	Scorch
2948	Scorch
2948	Scorch
2948	Scorch
22959	Critical Mass
